model,method,sparsity,bits,group_size,ppl,forward_tokens_per_s,generate_tokens_per_s
F:/MyProgram/BIG/liteforge/cache/models/Qwen2.5-0.5B,dense,,,,13.2064,,13.9
F:/MyProgram/BIG/liteforge/cache/models/Qwen2.5-0.5B,wanda,0.5,,,25.5227,,13.4
F:/MyProgram/BIG/liteforge/cache/models/Qwen2.5-0.5B,magnitude,0.5,,,485.5846,,
F:/MyProgram/BIG/liteforge/cache/models/Qwen2.5-0.5B,rtn,,4,128,15.6889,,
F:/MyProgram/BIG/liteforge/cache/models/Qwen2.5-0.5B,rtn,,8,128,13.2184,,
F:/MyProgram/BIG/liteforge/cache/models/Qwen2.5-0.5B,wanda,0.25,,,13.7198,,
F:/MyProgram/BIG/liteforge/cache/models/Qwen2.5-0.5B,wanda,0.6,,,76.7116,,
F:/MyProgram/BIG/liteforge/cache/models/Qwen2.5-0.5B,wanda,0.5,,,70.1408,,
F:/MyProgram/BIG/liteforge/cache/models/Qwen2.5-0.5B,rtn,,3,128,51.3712,,
F:/MyProgram/BIG/liteforge/cache/models/Qwen2.5-0.5B,rtn,,4,0,23.9901,,
F:/MyProgram/BIG/liteforge/cache/models/Qwen2.5-1.5B,dense,,,,9.261,,14.3
F:/MyProgram/BIG/liteforge/cache/models/Qwen2.5-1.5B,wanda,0.5,,,13.3361,,14.5
F:/MyProgram/BIG/liteforge/cache/models/Qwen2.5-1.5B,rtn,,4,128,10.3747,,
F:/MyProgram/BIG/liteforge/cache/models/Qwen2.5-3B,dense,,,,8.0142,,
F:/MyProgram/BIG/liteforge/cache/models/Qwen2.5-3B,wanda,0.5,,,10.8894,,
F:/MyProgram/BIG/liteforge/cache/models/Qwen2.5-3B,rtn,,4,128,9.0027,,
F:/MyProgram/BIG/liteforge/cache/models/Qwen2.5-0.5B,gptq,,4,128,14.1349,,
F:/MyProgram/BIG/liteforge/cache/models/Qwen2.5-0.5B,obc,0.5,,,54.1607,,
F:/MyProgram/BIG/liteforge/cache/models/Qwen2.5-0.5B,gptq,,4,128,14.1349,,
F:/MyProgram/BIG/liteforge/cache/models/Qwen2.5-0.5B,wanda-sgmix,,,,29.5269,,16.9
F:/MyProgram/BIG/liteforge/cache/models/Qwen2.5-0.5B,wanda-sgmix,,,,34.9688,,15.5
F:/MyProgram/BIG/liteforge/cache/models/Qwen2.5-1.5B,obc,0.5,,,13.7296,,
F:/MyProgram/BIG/liteforge/cache/models/Qwen2.5-1.5B,gptq,,4,128,9.9066,,
F:/MyProgram/BIG/liteforge/cache/models/Qwen2.5-0.5B,obc,0.5,,,17.5178,,
F:/MyProgram/BIG/liteforge/cache/models/Qwen2.5-1.5B,obc,0.5,,,11.6737,,
F:/MyProgram/BIG/liteforge/cache/models/Qwen2.5-3B,obc,0.5,,,9.8108,,
F:/MyProgram/BIG/liteforge/cache/models/Qwen2.5-3B,gptq,,4,128,8.3432,,
